year,scenario,pool,fraction,soc_tCha,pools_sum_tCha
2000,baseline,DPM,0.033295879175902175,2.234483829506825,67.10992125187757
2000,baseline,RPM,0.21222238608803987,14.242227618253912,67.10992125187757
2000,baseline,BIO,0.03504308216615699,2.3517384845938705,67.10992125187757
2000,baseline,HUM,0.5551451524785325,37.25574746619588,67.10992125187757
2000,baseline,IOM,0.16429350009136842,11.025723853327074,67.10992125187757
2001,baseline,DPM,0.039076579514163136,2.610404863514945,66.8022865862355
2001,baseline,RPM,0.19694278740993332,13.156228525650418,66.8022865862355
2001,baseline,BIO,0.04137995878799,2.764275865881922,66.8022865862355
2001,baseline,HUM,0.5334322203767705,35.63449205994095,66.8022865862355
2001,baseline,IOM,0.18916845391114312,12.636885271247264,66.8022865862355
2002,baseline,DPM,0.039786023279305624,2.6721348070435695,67.16265127290212
2002,baseline,RPM,0.20056640848510418,13.47057175014349,67.16265127290212
2002,baseline,BIO,0.03475057733981598,2.3339409074060753,67.16265127290212
2002,baseline,HUM,0.5513389202058614,37.02938363096468,67.16265127290212
2002,baseline,IOM,0.17355807068991275,11.656620177344305,67.16265127290212
2003,baseline,DPM,0.030484362737123218,2.039964375856537,66.91838676267656
2003,baseline,RPM,0.19523913762623632,13.06508812288392,66.91838676267656
2003,baseline,BIO,0.046186809414822054,3.0907467757550933,66.91838676267656
2003,baseline,HUM,0.5503540311667455,36.82880391401443,66.91838676267656
2003,baseline,IOM,0.17773565905507283,11.89378357416658,66.91838676267656
2004,baseline,DPM,0.04652067696927176,3.1051818796282,66.74842418306298
2004,baseline,RPM,0.19762014044094497,13.190832961268674,66.74842418306298
2004,baseline,BIO,0.024936277354206424,1.6644572183850779,66.74842418306298
2004,baseline,HUM,0.5676725123310996,37.891245650141286,66.74842418306298
2004,baseline,IOM,0.1632503929044772,10.896706473639739,66.74842418306298
2005,baseline,DPM,0.03288222208138951,2.198390680131247,66.85651215084638
2005,baseline,RPM,0.21134974165788264,14.130106571228476,66.85651215084638
2005,baseline,BIO,0.04099843837637573,2.7410125934758907,66.85651215084638
2005,baseline,HUM,0.5541107210045542,37.04591015175523,66.85651215084638
2005,baseline,IOM,0.1606588768797979,10.741092154255542,66.85651215084638
2006,baseline,DPM,0.0353871584741392,2.377754467979368,67.19257975225736
2006,baseline,RPM,0.20301130401146672,13.640853235400241,67.19257975225736
2006,baseline,BIO,0.028148077447255705,1.8913419387474457,67.19257975225736
2006,baseline,HUM,0.5664763324379714,38.063006145104644,67.19257975225736
2006,baseline,IOM,0.16697712762916694,11.219623965025656,67.19257975225736
2007,baseline,DPM,0.013571565115486354,0.9057446651842317,66.73840912797134
2007,baseline,RPM,0.18690892131174838,12.474004060171263,66.73840912797134
2007,baseline,BIO,0.04137073338300246,2.7610169304390397,66.73840912797134
2007,baseline,HUM,0.5686499903190141,37.950795704527295,66.73840912797134
2007,baseline,IOM,0.18949878987074878,12.6468477676495,66.73840912797134
2008,baseline,DPM,0.027285256211107153,1.8287360640110184,67.02286575071945
2008,baseline,RPM,0.19662105044100373,13.178106267472826,67.02286575071945
2008,baseline,BIO,0.04962596194344236,3.3260741850856492,67.02286575071945
2008,baseline,HUM,0.5544114984713017,37.158247432697245,67.02286575071945
2008,baseline,IOM,0.17205623293314515,11.5317018014527,67.02286575071945
2009,baseline,DPM,0.043106109020328125,2.871649835051472,66.61816388246152
2009,baseline,RPM,0.19761740872607234,13.16490892054087,66.61816388246152
2009,baseline,BIO,0.04379143062056054,2.917304701727946,66.61816388246152
2009,baseline,HUM,0.5447947238757124,36.29322419745258,66.61816388246152
2009,baseline,IOM,0.17069032775732657,11.371076227688654,66.61816388246152
2010,baseline,DPM,0.024736398956390546,1.6573658377835008,67.001095863039
2010,baseline,RPM,0.20694982788850594,13.865865257197207,67.001095863039
2010,baseline,BIO,0.03391764741619296,2.272519545981101,67.001095863039
2010,baseline,HUM,0.554818664220339,37.17345850803018,67.001095863039
2010,baseline,IOM,0.17957746151857157,12.03188671404701,67.001095863039
2011,baseline,DPM,0.018279803902462168,1.2270966784473576,67.1285471657645
2011,baseline,RPM,0.21224758603564656,14.247872090013558,67.1285471657645
2011,baseline,BIO,0.027440411137587353,1.8420349332975021,67.1285471657645
