year,scenario,total_soc_tCha,management_change_year,delta_soc_tCha_per_yr
2000,baseline,67.10992125187757,2012,
2001,baseline,66.8022865862355,2012,-0.30763466564206965
2002,baseline,67.16265127290212,2012,0.36036468666662813
2003,baseline,66.91838676267656,2012,-0.2442645102255625
2004,baseline,66.74842418306298,2012,-0.16996257961358197
2005,baseline,66.85651215084638,2012,0.10808796778340479
2006,baseline,67.19257975225736,2012,0.33606760141097425
2007,baseline,66.73840912797132,2012,-0.4541706242860357
2008,baseline,67.02286575071943,2012,0.28445662274810957
2009,baseline,66.61816388246153,2012,-0.4047018682579022
2010,baseline,67.001095863039,2012,0.38293198057746736
2011,baseline,67.1285471657645,2012,0.12745130272550398
2012,baseline,67.36850996385152,2012,0.2399627980870207
2013,baseline,67.46961193460848,2012,0.10110197075695737
2014,baseline,67.40292097014391,2012,-0.0666909644645699
2015,baseline,67.23875660274413,2012,-0.1641643673997777
2016,baseline,67.12096534656143,2012,-0.11779125618269859
2017,baseline,67.51044491750264,2012,0.3894795709412051
2018,baseline,67.31459776695654,2012,-0.19584715054610058
2019,baseline,67.09553788363985,2012,-0.2190598833166888
2020,baseline,67.06230616017825,2012,-0.033231723461597085
2021,baseline,67.27177810641952,2012,0.20947194624126553
2022,baseline,67.55655717458234,2012,0.2847790681628197
2023,baseline,67.45421083432613,2012,-0.10234634025620437
2024,baseline,67.54156673186698,2012,0.08735589754084572
2000,project,66.89821307744255,2012,
2001,project,67.12542568842198,2012,0.22721261097943568
2002,project,67.35170359496705,2012,0.2262779065450644
2003,project,66.95059198559107,2012,-0.4011116093759739
2004,project,66.96755480022313,2012,0.01696281463205196
2005,project,66.77915541287838,2012,-0.18839938734474515
2006,project,66.82098072069746,2012,0.04182530781908156
2007,project,66.8352277723103,2012,0.014247051612841233
2008,project,66.59004215068333,2012,-0.24518562162697322
2009,project,67.05213233294181,2012,0.4620901822584784
2010,project,66.97419240099562,2012,-0.0779399319461902
2011,project,67.09849537648904,2012,0.12430297549342129
2012,project,67.34741482936084,2012,0.24891945287180306
2013,project,67.4896847096124,2012,0.14226988025156118
2014,project,67.60007056750311,2012,0.1103858578907051
2015,project,67.72413579899488,2012,0.12406523149176962
2016,project,67.70417673895113,2012,-0.019959060043746035
2017,project,68.09223647471956,2012,0.38805973576842234
2018,project,67.97172326933934,2012,-0.12051320538022026
2019,project,68.21070549382463,2012,0.23898222448529793
2020,project,68.40616224718678,2012,0.1954567533621514
2021,project,68.83137349770473,2012,0.42521125051794684
2022,project,69.33296898450577,2012,0.5015954868010368
2023,project,69.22457373359883,2012,-0.10839525090693769
2024,project,69.50512817172577,2012,0.28055443812694136
